1	1532.19	23.65
2	1760.99	1091.64
3	655.43	1314.96
4	1773.56	1683.99
5	1922.57	739.16
6	140.64	343.62
7	1519.5	1230.11
8	1326.38	661.45
9	1814.8	1311.42
10	1093.19	1159.77
11	254.09	1635.15
12	281.83	1884.0
13	1277.02	1584.18
14	1094.18	1303.2
15	1163.71	1686.14
16	1420.66	411.24
17	1462.93	784.92
18	1003.16	1430.69
19	1168.1	75.9
20	995.71	1095.1
21	1185.83	665.69
22	302.96	1531.53
23	1612.47	30.17
24	1011.67	445.61
25	669.1	817.94
26	1758.95	682.6
27	1052.36	476.03
28	1010.82	296.88
29	397.62	473.15
30	483.91	1631.23
31	1756.5	63.66
32	1506.52	1252.85
33	937.55	73.53
34	846.4	1649.98
35	1575.57	1078.24
36	267.93	558.12
37	869.56	1341.89
38	164.29	1432.65
39	852.96	1081.85
40	87.89	1734.9
41	1096.37	710.08
42	1063.36	972.73
43	657.94	1388.44
44	645.39	1301.04
45	1567.02	1502.13
46	965.29	1238.96
47	526.46	1036.69
48	1226.05	1761.2
49	707.11	420.49
50	1207.71	439.06
51	1670.93	1190.33
52	1702.23	1105.52
53	1794.31	833.27
54	9.71	791.22
55	1745.16	799.72
56	1731.97	347.55
57	1970.68	1628.55
58	1229.08	1616.88
59	715.0	638.16
60	1445.44	1634.25
61	1494.22	1481.15
62	529.09	1268.79
63	1884.03	1504.32
64	5.04	87.92
65	1458.18	1295.86
66	1047.73	167.27
67	552.34	226.91
68	264.07	1485.32
69	682.93	1160.12
70	1694.0	1963.19
71	677.72	1175.57
72	1671.18	1205.47
73	1144.46	1842.29
74	783.69	1493.74
75	197.88	1733.45
76	367.71	925.86
77	269.46	522.23
78	431.43	1560.02
79	1041.39	772.04
80	397.76	929.24
81	452.87	450.37
82	11.12	312.54
83	1270.38	1447.09
84	1396.55	1.77
85	1203.27	584.79
86	101.64	296.6
87	1141.65	661.73
88	432.79	565.67
89	327.11	257.57
90	1430.54	356.19
91	895.22	1630.67
92	1216.66	842.68
93	460.81	1936.4
94	1008.5	1405.64
95	652.97	1766.98
96	1918.68	395.39
97	1189.6	509.13
98	1337.11	1579.65
99	1537.03	1130.56
100	1639.32	71.87
101	1139.91	142.29
102	577.24	1110.14
103	1183.33	853.5
104	536.17	768.7
105	1269.84	1826.78
106	1821.51	286.1
107	1786.54	607.57
108	1219.17	398.72
109	182.82	1011.05
110	1483.22	1003.96
111	153.81	825.33
112	916.09	308.82
113	1570.11	115.3
114	34.0	1799.16
115	1135.93	578.87
116	1359.94	1528.09
117	1271.61	1120.91
118	1616.66	1434.03
119	1270.86	577.2
120	1470.76	524.88
121	251.25	900.66
122	442.78	1668.14
123	119.24	133.25
124	1427.57	1748.36
125	58.09	1543.51
126	1973.73	1960.07
127	1182.01	524.61
128	383.0	768.2
129	107.82	270.99
130	572.67	1839.8
131	1995.78	1425.01
132	1221.83	568.6
133	969.56	1281.9
134	456.84	1977.27
135	1209.05	1296.8
136	270.47	317.48
137	1113.89	1563.18
138	1465.4	1643.51
139	881.26	1484.81
140	1198.67	838.56
141	456.48	963.04
142	1104.0	955.82
143	1505.78	291.58
144	1000.51	967.76
145	1317.85	1629.58
146	85.02	324.14
147	823.28	531.79
148	229.16	1647.61
149	1566.4	855.65
150	1679.04	571.76
151	76.81	1083.09
152	1224.73	1887.63
153	1634.17	1437.44
154	875.58	913.01
155	1443.19	551.29
156	1704.35	1125.76
157	1485.03	47.9
158	279.13	480.76
159	868.9	1048.93
160	860.85	1529.83
161	1280.98	1333.02
162	460.31	1972.06
163	319.18	658.09
164	240.17	736.33
165	500.07	1436.57
166	260.39	1359.95
167	1662.63	710.32
168	1691.15	1108.41
169	873.75	852.87
170	1002.11	408.48
171	201.63	445.29
172	876.41	1671.52
173	657.0	1076.25
174	899.13	461.99
175	1521.47	577.08
176	1002.94	1041.28
177	1802.08	727.63
178	1707.34	259.16
179	1394.93	970.58
180	278.73	1220.19
181	624.73	995.75
182	1472.07	1650.89
183	34.97	544.82
184	536.68	369.0
185	1183.01	1465.23
186	1946.28	175.21
187	1112.35	93.94
188	577.67	1667.41
189	1693.16	580.71
190	1216.88	1951.65
191	1166.8	546.88
192	325.32	1741.13
193	1315.13	196.46
194	1777.91	1742.01
195	578.78	815.43
196	1078.05	1914.04
197	1070.67	1744.96
198	1668.92	869.73
199	78.36	1238.13
200	279.99	1658.87
